更新时间,#genre#
20260501 17:32,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8

央视频道,#genre#
CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV1,http://39.135.133.132/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8?
CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226559/index.m3u8
CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226514/index.m3u8
CCTV1,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226016/index.m3u8
CCTV1,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226559/index.m3u8
CCTV1,http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221226016/.m3u8
CCTV1,http://115.171.216.46:4000/rtp/225.1.8.1:8008
CCTV1,http://www.taoli.website:23234/rtp/239.3.1.129:8008
CCTV1,http://60.30.67.44:8834/rtp/225.1.1.120:5002
CCTV1,http://60.30.67.45:8834/rtp/225.1.1.120:5002
CCTV1,http://111.226.232.247:10010/rtp/239.254.200.45:8008
CCTV1,http://yaching.xmtcenter.com:9999/rtp/239.254.200.45:8008
CCTV1,http://60.3.123.183:7000/rtp/239.253.92.83:8012
CCTV1,http://lj.kuail8.cn:7000/rtp/239.253.92.83:8012
CCTV1,http://223.10.214.110:6001/rtp/239.1.1.7:8007
CCTV1,http://223.10.214.111:6000/rtp/239.1.1.7:8007
CCTV1,http://171.116.2.3:10010/rtp/226.0.2.16:8040
CCTV1,http://171.116.2.3:10010/rtp/226.0.2.18:8056
CCTV1,http://171.118.16.215:9999/rtp/226.0.2.153:9136
CCTV1,http://171.118.16.215:9999/rtp/226.0.2.16:8040
CCTV1,http://171.118.16.215:9999/rtp/226.0.2.18:8056
CCTV1,http://home.yulei.online:9999/rtp/226.0.2.153:9136
CCTV1,http://home.yulei.online:9999/rtp/226.0.2.16:8040
CCTV1,http://home.yulei.online:9999/rtp/226.0.2.18:8056
CCTV1,http://61.243.180.182:4022/rtp/232.0.0.27:8808
CCTV1,http://yeeaa.myds.me:4000/rtp/232.0.0.27:8808
CCTV1,http://36.49.54.222:8800/rtp/239.37.0.20:5540
CCTV1,http://36.49.54.222:8800/rtp/239.37.0.254:5540
CCTV1,http://36.49.54.222:8800/rtp/239.37.0.8:5540
CCTV1,http://kms.yzzdxc.cn:16666/rtp/239.37.0.178:5540
CCTV1,http://kms.yzzdxc.cn:16666/rtp/239.37.0.20:5540
